jira_id,issue_type,prefactoring_detected,confidence,structural_refactoring,structural_td_fixed,refactoring_count,fixed_count,new_count,diff_available,reasoning
HDFS-14678,Improvement,False,high,False,False,6,0,0,,No SonarQube issues were fixed in this change.
HDFS-13616,New Feature,False,high,False,False,1,0,8,,No SonarQube issues were fixed in this change.
HDFS-15520,Improvement,False,high,False,False,4,0,10,,No SonarQube issues were fixed in this change.
HDFS-15577,Improvement,False,high,False,False,1,0,2,,No SonarQube issues were fixed in this change.
HDFS-15652,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDFS-15703,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDFS-15937,Improvement,False,high,False,False,9,0,0,,No SonarQube issues were fixed in this change.
HDFS-15877,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDFS-15757,Improvement,False,high,True,False,8,0,2,,No SonarQube issues were fixed in this change.
HDFS-16048,New Feature,False,high,False,False,4,0,3,,No SonarQube issues were fixed in this change.
HDFS-13916,New Feature,False,high,True,False,17,0,1,,No SonarQube issues were fixed in this change.
HDFS-16088,Improvement,False,high,True,False,7,0,1,,No SonarQube issues were fixed in this change.
HDFS-15785,Improvement,False,high,True,False,7,0,0,,No SonarQube issues were fixed in this change.
HDFS-16119,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDFS-16137,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDFS-16173,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HDFS-16197,Improvement,False,high,True,False,10,0,0,,No SonarQube issues were fixed in this change.
HDFS-15920,Improvement,False,high,False,False,4,0,1,,No SonarQube issues were fixed in this change.
HDFS-16286,Improvement,False,high,False,False,6,0,17,,No SonarQube issues were fixed in this change.
HDFS-16320,Improvement,False,high,True,False,1,0,1,,No SonarQube issues were fixed in this change.
HDFS-16314,Improvement,False,high,False,False,4,0,1,,No SonarQube issues were fixed in this change.
HDFS-16386,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDFS-16348,Improvement,False,high,True,False,1,0,2,,No SonarQube issues were fixed in this change.
HDFS-16399,New Feature,False,high,False,False,3,0,1,,No SonarQube issues were fixed in this change.
HDFS-16447,Improvement,False,high,False,False,8,0,1,,No SonarQube issues were fixed in this change.
HDFS-16459,Improvement,False,high,False,False,18,0,0,,No SonarQube issues were fixed in this change.
HDFS-16461,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDFS-16434,Improvement,False,high,False,False,2,0,1,,No SonarQube issues were fixed in this change.
HDFS-16527,Improvement,False,high,False,False,8,0,1,,No SonarQube issues were fixed in this change.
HDFS-16519,Improvement,False,high,False,False,1,0,2,,No SonarQube issues were fixed in this change.
HDFS-16588,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDFS-16597,Improvement,False,high,True,False,1,0,0,,No SonarQube issues were fixed in this change.
HDFS-16613,Improvement,False,high,False,False,5,0,0,,No SonarQube issues were fixed in this change.
HDFS-16655,Improvement,False,high,False,False,2,0,4,,No SonarQube issues were fixed in this change.
HDFS-16709,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HDFS-6874,Improvement,False,high,True,False,4,0,16,,No SonarQube issues were fixed in this change.
HDFS-16844,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HDFS-16858,New Feature,False,high,False,False,2,0,1,,No SonarQube issues were fixed in this change.
HDFS-16971,Improvement,False,high,False,False,3,0,3,,No SonarQube issues were fixed in this change.
HDFS-16979,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HDFS-17020,Improvement,False,high,False,False,1,0,2,,No SonarQube issues were fixed in this change.
HDFS-17037,Improvement,False,high,False,False,9,0,1,,No SonarQube issues were fixed in this change.
HDFS-17053,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDFS-17044,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDFS-17075,Improvement,False,high,False,False,7,0,1,,No SonarQube issues were fixed in this change.
HDFS-17115,Improvement,False,high,False,False,1,0,4,,No SonarQube issues were fixed in this change.
HDFS-17184,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDFS-17197,Improvement,False,high,False,False,3,0,2,,No SonarQube issues were fixed in this change.
HDFS-17294,New Feature,False,high,False,False,4,0,2,,No SonarQube issues were fixed in this change.
HDFS-17215,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HDFS-17283,Improvement,False,high,False,False,1,0,2,,No SonarQube issues were fixed in this change.
HDFS-17306,Improvement,False,high,False,False,1,0,3,,No SonarQube issues were fixed in this change.
HDFS-17322,Improvement,False,high,False,False,1,0,2,,No SonarQube issues were fixed in this change.
HDFS-17451,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HDFS-17514,Improvement,False,high,True,False,1,0,1,,No SonarQube issues were fixed in this change.
HDFS-17576,Improvement,False,high,False,False,4,0,2,,No SonarQube issues were fixed in this change.
