jira_id,issue_type,prefactoring_detected,confidence,structural_refactoring,structural_td_fixed,refactoring_count,fixed_count,new_count,diff_available,reasoning
FLINK-11422,Improvement,False,high,True,False,18,0,0,,No SonarQube issues were fixed in this change.
FLINK-11382,New Feature,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
FLINK-11315,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
FLINK-11081,New Feature,False,high,False,False,14,0,4,,No SonarQube issues were fixed in this change.
FLINK-11154,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
FLINK-11691,Improvement,False,high,False,False,17,0,2,,No SonarQube issues were fixed in this change.
FLINK-11656,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
FLINK-11657,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
FLINK-11704,Improvement,False,high,False,False,7,0,0,,No SonarQube issues were fixed in this change.
FLINK-11483,Improvement,False,high,True,False,7,0,0,,No SonarQube issues were fixed in this change.
FLINK-11863,New Feature,False,high,True,False,5,0,20,,No SonarQube issues were fixed in this change.
FLINK-11904,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
FLINK-11903,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
FLINK-11692,New Feature,False,high,False,False,6,0,0,,No SonarQube issues were fixed in this change.
FLINK-11853,New Feature,False,high,True,False,12,0,0,,No SonarQube issues were fixed in this change.
FLINK-12057,Improvement,False,high,False,False,4,0,0,,No SonarQube issues were fixed in this change.
FLINK-12077,New Feature,False,high,False,False,1,0,15,,No SonarQube issues were fixed in this change.
FLINK-12140,New Feature,False,high,True,False,2,0,5,,No SonarQube issues were fixed in this change.
FLINK-10441,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
FLINK-12306,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
FLINK-12424,New Feature,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
FLINK-12775,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
FLINK-12402,Improvement,False,high,True,False,3,0,0,,No SonarQube issues were fixed in this change.
FLINK-11321,Improvement,False,high,False,False,5,0,4,,No SonarQube issues were fixed in this change.
FLINK-12529,Improvement,False,high,True,False,3,0,1,,No SonarQube issues were fixed in this change.
FLINK-13794,Improvement,False,high,False,False,6,0,4,,No SonarQube issues were fixed in this change.
FLINK-11696,Improvement,False,high,False,False,8,0,2,,No SonarQube issues were fixed in this change.
FLINK-13992,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
FLINK-14720,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
FLINK-14862,New Feature,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
FLINK-14915,Improvement,False,high,False,False,4,0,0,,No SonarQube issues were fixed in this change.
FLINK-14924,New Feature,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
FLINK-14969,Improvement,False,high,True,False,2,0,0,,No SonarQube issues were fixed in this change.
FLINK-14346,Improvement,False,high,False,False,1,0,8,,No SonarQube issues were fixed in this change.
FLINK-14264,New Feature,False,high,False,False,2,0,1,,No SonarQube issues were fixed in this change.
FLINK-15134,Improvement,False,high,False,False,1,0,2,,No SonarQube issues were fixed in this change.
FLINK-15291,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
