jira_id,issue_type,prefactoring_detected,confidence,structural_refactoring,structural_td_fixed,refactoring_count,fixed_count,new_count,diff_available,reasoning
HADOOP-16661,New Feature,False,high,False,False,3,0,1,,No SonarQube issues were fixed in this change.
HADOOP-17046,Improvement,False,high,True,False,5,0,24,,No SonarQube issues were fixed in this change.
HADOOP-17194,Improvement,False,high,True,False,8,0,2,,No SonarQube issues were fixed in this change.
HADOOP-17165,New Feature,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HADOOP-17270,Improvement,False,high,False,False,3,0,1,,No SonarQube issues were fixed in this change.
HADOOP-17389,Improvement,False,high,False,False,7,0,0,,No SonarQube issues were fixed in this change.
HADOOP-17620,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HADOOP-17900,Improvement,False,high,False,False,12,0,0,,No SonarQube issues were fixed in this change.
HADOOP-17893,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HADOOP-18117,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HADOOP-16202,Improvement,False,high,True,False,27,0,0,,No SonarQube issues were fixed in this change.
HADOOP-18517,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
HADOOP-18625,Improvement,False,high,False,False,2,0,4,,No SonarQube issues were fixed in this change.
HADOOP-18691,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
HADOOP-19227,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HADOOP-19362,Improvement,False,high,False,False,8,0,0,,No SonarQube issues were fixed in this change.
HADOOP-19545,Improvement,False,high,False,False,28,0,2,,No SonarQube issues were fixed in this change.
HADOOP-19597,Improvement,False,high,False,False,5,0,0,,No SonarQube issues were fixed in this change.
HADOOP-17979,New Feature,False,high,True,True,11,1,25,True,"The single fixed SonarQube issue (java:S107 — constructor with 11 parameters in AzureBlobFileSystemStore.java) is directly in the core feature scope: the diff shows AzureBlobFileSystemStore.java was heavily modified to add EtagSource support, extractEtagHeader(), and VersionedFileStatus changes, including making the VersionedFileStatus constructor private (RefactoringMiner: Change Method Access Modifier). The constructor parameter count reduction is a natural byproduct of the structural refactoring performed on this class to implement the etag feature — specifically, the VersionedFileStatus inner class was refactored (made final, private constructor, added serialVersionUID, added EtagSource implementation), which likely changed the constructor signature. All 10 new SonarQube issues introduced are in S3AFileStatus.java and S3ALocatedFileStatus.java and are direct consequences of the feature work (deprecating getETag() in favor of getEtag() to implement EtagSource), confirming the feature was the primary driver of all changes."
HADOOP-19306,Improvement,False,high,True,True,25,10,5,True,"The majority of fixed SonarQube issues are in SaslRpcServer.java, which is the core locus of the feature work (adding CustomizedCallbackHandler support to SaslRpcServer). The S3776 cognitive complexity fix in SaslRpcServer was a direct byproduct of refactoring the handle() method to extract getPassword(String) and reorganize callback handling logic to support custom callbacks. The S1130 redundant exception declarations were removed because the method signatures were restructured as part of the same refactoring (removing explicit throws of InvalidToken, StandbyException, RetriableException when the method was simplified). The two incidental fixes (S3824 in FileSystemTimelineWriter.java and ContainerMetrics.java) are in completely unrelated files with no connection to SASL RPC server feature work, and the S1874 fix in SaslDataTransferServer.java was a byproduct of replacing the inline clazz.newInstance() call with the new CustomizedCallbackHandler.get() abstraction."
HADOOP-16290,Improvement,True,high,True,True,1,1,1,True,"The single fixed SonarQube issue (java:S1124 - modifier reordering) is in RpcMetrics.java, which is the core file of the feature work. The diff shows that 'public final static TimeUnit TIMEUNIT' was renamed/replaced with 'public static final TimeUnit DEFAULT_METRIC_TIME_UNIT' as part of making the time unit configurable, which directly resolves the modifier ordering violation as a natural byproduct of restructuring the constant declaration. The RefactoringMiner detection of a 'Rename Attribute' confirms this structural change. The test changes in TestRPC.java also directly target the new configurable time unit functionality in the same RpcMetrics context, reinforcing the causal relationship."
HADOOP-18868,Improvement,False,high,True,False,5,1,3,True,"The single fixed SonarQube issue (java:S3824 in FileSystemTimelineWriter.java, a YARN file) is completely outside the feature scope, which is entirely within hadoop-common ipc classes (CallQueueManager.java, FairCallQueue.java, Server.java). The feature work refactored callqueue failover configuration in those IPC files but did not touch FileSystemTimelineWriter.java at all, making the Map.computeIfAbsent() fix purely incidental cleanup. Meanwhile, the 3 new SonarQube issues introduced (java:S5803 in CallQueueManager.java and Server.java) are directly caused by the feature work adding @VisibleForTesting methods and calling them from production code, confirming the feature scope is limited to those IPC files while the fixed TD issue lies elsewhere."
