jira_id,issue_type,prefactoring_detected,confidence,structural_refactoring,structural_td_fixed,refactoring_count,fixed_count,new_count,diff_available,reasoning
KAFKA-13590,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
KAFKA-13637,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-13780,Improvement,False,high,False,False,41,0,0,,No SonarQube issues were fixed in this change.
KAFKA-13809,Improvement,False,high,False,False,6,0,0,,No SonarQube issues were fixed in this change.
KAFKA-12878,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14240,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14239,Improvement,False,high,True,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14344,Improvement,False,high,True,False,6,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14098,Improvement,False,high,False,False,4,0,0,,No SonarQube issues were fixed in this change.
KAFKA-13401,Improvement,False,high,False,False,12,0,5,,No SonarQube issues were fixed in this change.
KAFKA-14293,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14294,Improvement,False,high,True,False,5,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14386,Improvement,False,high,False,False,12,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14742,Improvement,False,high,False,False,8,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14770,Improvement,False,high,True,False,4,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14021,Improvement,False,high,True,False,9,0,2,,No SonarQube issues were fixed in this change.
KAFKA-14740,Improvement,False,high,False,False,24,0,3,,No SonarQube issues were fixed in this change.
KAFKA-13999,Improvement,False,high,True,False,6,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14842,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
KAFKA-14837,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
KAFKA-14838,Improvement,False,high,False,False,24,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14771,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14766,Improvement,False,high,True,False,10,0,19,,No SonarQube issues were fixed in this change.
KAFKA-14084,Improvement,False,high,True,False,2,0,29,,No SonarQube issues were fixed in this change.
KAFKA-14982,Improvement,False,high,False,False,7,0,0,,No SonarQube issues were fixed in this change.
KAFKA-15034,Improvement,False,high,False,False,2,0,2,,No SonarQube issues were fixed in this change.
KAFKA-14539,Improvement,False,high,False,False,7,0,0,,No SonarQube issues were fixed in this change.
KAFKA-15076,Improvement,False,high,False,False,13,0,0,,No SonarQube issues were fixed in this change.
KAFKA-15085,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
KAFKA-15078,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-15139,Improvement,False,high,False,False,13,0,0,,No SonarQube issues were fixed in this change.
KAFKA-15182,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-15219,Improvement,False,high,True,False,8,0,20,,No SonarQube issues were fixed in this change.
KAFKA-15130,Improvement,False,high,False,False,4,0,1,,No SonarQube issues were fixed in this change.
KAFKA-15627,Improvement,False,high,True,False,9,0,11,,No SonarQube issues were fixed in this change.
KAFKA-16021,Improvement,False,high,False,False,4,0,0,,No SonarQube issues were fixed in this change.
KAFKA-15996,Improvement,False,high,True,False,3,0,27,,No SonarQube issues were fixed in this change.
KAFKA-15988,Improvement,False,high,True,False,35,0,0,,No SonarQube issues were fixed in this change.
KAFKA-15970,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
KAFKA-16116,Improvement,False,high,False,False,5,0,2,,No SonarQube issues were fixed in this change.
KAFKA-16285,Improvement,False,high,True,False,10,0,1,,No SonarQube issues were fixed in this change.
KAFKA-14747,Improvement,False,high,False,False,6,0,0,,No SonarQube issues were fixed in this change.
KAFKA-16246,Improvement,False,high,False,False,9,0,0,,No SonarQube issues were fixed in this change.
KAFKA-16397,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-16477,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
KAFKA-16455,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-16280,Improvement,False,high,True,False,3,0,0,,No SonarQube issues were fixed in this change.
KAFKA-16677,Improvement,False,high,False,False,51,0,0,,No SonarQube issues were fixed in this change.
KAFKA-12399,Improvement,False,high,False,False,2,0,3,,No SonarQube issues were fixed in this change.
KAFKA-16598,Improvement,False,high,True,False,39,0,0,,No SonarQube issues were fixed in this change.
KAFKA-16343,Improvement,False,high,False,False,7,0,0,,No SonarQube issues were fixed in this change.
KAFKA-16669,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
KAFKA-10816,Improvement,False,high,True,False,53,0,5,,No SonarQube issues were fixed in this change.
KAFKA-15773,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17122,Improvement,False,high,False,False,13,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17095,Improvement,False,high,False,False,8,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17082,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17179,Improvement,False,high,False,False,14,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17175,Improvement,False,high,True,False,28,0,0,,No SonarQube issues were fixed in this change.
KAFKA-16818,Improvement,False,high,True,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17151,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17373,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17399,Improvement,False,high,True,False,14,0,1,,No SonarQube issues were fixed in this change.
KAFKA-17327,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17433,Improvement,False,high,True,False,5,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17427,Improvement,False,high,False,False,13,0,51,,No SonarQube issues were fixed in this change.
KAFKA-16027,Improvement,False,high,True,False,28,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17585,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-16908,Improvement,False,high,True,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17695,Improvement,False,high,True,False,18,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17534,Improvement,False,high,True,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17099,Improvement,False,high,False,False,5,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17785,Improvement,False,high,False,False,1,0,3,,No SonarQube issues were fixed in this change.
KAFKA-17847,Improvement,False,high,False,False,4,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17975,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17314,Improvement,False,high,False,False,5,0,8,,No SonarQube issues were fixed in this change.
KAFKA-17744,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-17885,New Feature,False,high,True,False,5,0,3,,No SonarQube issues were fixed in this change.
KAFKA-17992,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14934,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-18173,Improvement,False,high,False,False,5,0,0,,No SonarQube issues were fixed in this change.
KAFKA-18639,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-18230,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-18798,Improvement,False,high,False,False,4,0,0,,No SonarQube issues were fixed in this change.
KAFKA-18801,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-18944,Improvement,False,high,False,False,5,0,0,,No SonarQube issues were fixed in this change.
KAFKA-18023,Improvement,False,high,False,False,5,0,2,,No SonarQube issues were fixed in this change.
KAFKA-18989,Improvement,False,high,True,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-8830,New Feature,False,high,True,False,10,0,3,,No SonarQube issues were fixed in this change.
KAFKA-19146,Improvement,False,high,True,False,3,0,0,,No SonarQube issues were fixed in this change.
KAFKA-19273,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-19330,Improvement,False,high,False,False,7,0,0,,No SonarQube issues were fixed in this change.
KAFKA-18961,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
KAFKA-14915,Improvement,False,high,False,False,4,0,0,,No SonarQube issues were fixed in this change.
KAFKA-19254,New Feature,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-19511,Improvement,False,high,False,False,4,0,0,,No SonarQube issues were fixed in this change.
KAFKA-19498,Improvement,False,high,False,False,2,0,1,,No SonarQube issues were fixed in this change.
KAFKA-19658,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
KAFKA-19705,Improvement,False,high,False,False,71,0,0,,No SonarQube issues were fixed in this change.
KAFKA-19521,Improvement,False,high,False,False,5,0,0,,No SonarQube issues were fixed in this change.
KAFKA-19803,Improvement,False,high,True,False,2,0,1,,No SonarQube issues were fixed in this change.
KAFKA-19824,New Feature,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-12392,Improvement,False,high,False,False,1,0,6,,No SonarQube issues were fixed in this change.
KAFKA-19924,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
KAFKA-19980,Improvement,False,high,True,False,4,0,0,,No SonarQube issues were fixed in this change.
KAFKA-15492,Improvement,False,high,False,False,4,2,0,True,"The JIRA issue KAFKA-15492 is about re-enabling SpotBugs for Java 21 builds, which does not inherently require touching AbstractStickyAssignor.java or ReplicatedCounter.java. The two SonarQube fixes (S1104 making maxGeneration private with an accessor in AbstractStickyAssignor.java, and S1170 making snapshotDelayInRecords a static final constant in ReplicatedCounter.java) are in files entirely outside the feature scope of enabling a build tool plugin. These are cosmetic code quality fixes that were bundled into the same commit as incidental cleanup, likely triggered by SpotBugs itself flagging these issues once re-enabled, but they are not causally required to enable SpotBugs support for Java 21."
KAFKA-18947,Improvement,False,high,True,True,1,2,0,True,"Both SonarQube issues (java:S112 — Replace generic exceptions with specific library exceptions) are in MetadataShell.java, which is the exact file the JIRA targets for refactoring. The diff shows the removal of the two RuntimeException throws in the run() method ('Can't specify both a raft manager and snapshot file reader' and 'You must specify either a raft manager or a snapshot file reader') — these were eliminated as a direct consequence of removing the raftManager field and simplifying the run() method to only support snapshot files, which is the core purpose of the JIRA. The TD fixes are a natural byproduct of the structural simplification, not incidental cleanup."
KAFKA-13651,Improvement,False,high,True,True,16,4,1,True,"All four fixed SonarQube issues are in StandardAuthorizerData.java, which is the exact core file modified to implement the audit logging feature per JIRA KAFKA-13651. The S3776 cognitive complexity reduction (from 17 to 15) is a direct byproduct of extracting methods like buildAuditMessage, appendResourcePattern, and logAuditMessage from the authorize() method — these extractions were necessary to add the new audit logging logic cleanly. The two S1192 duplicate-literal issues were resolved because the repeated 'authorize(requestContext=' and ', action=' strings were eliminated when the old trace logging approach was replaced by the new structured audit logging methods. The S1066 merged-if issue was also resolved as part of restructuring the authorize() method's control flow to accommodate the new MatchingRule/DefaultRule pattern. RefactoringMiner confirms 3 Extract Method and 1 Extract Class detections in this same file, consistent with the structural refactoring that incidentally fixed the TD."
KAFKA-16113,Improvement,False,high,True,False,22,3,5,True,The 3 fixed SonarQube issues (java:S2184 in ConsumerRebalanceListenerInvoker.java) were removed because the old violation-containing lines were replaced when ConsumerCoordinatorMetrics was refactored into RebalanceCallbackMetrics — a structural change directly required by the feature work of adding commit metrics to AsyncKafkaConsumer. The new S2184 issues (5 added) and the S107 constructor-too-many-parameters issue in CommitRequestManager.java are direct byproducts of adding the new metrics parameter. The AbstractConsumerMetrics S5993 visibility issue is also a new artifact of the metrics class hierarchy introduced for this feature. All TD changes are spatially and causally tied to the metrics infrastructure refactoring that was the core of KAFKA-16113.
KAFKA-15563,Improvement,False,high,True,False,30,1,8,True,"The single fixed SonarQube issue is a 'Brain Method' in streams/src/main/java/org/apache/kafka/streams/processor/internals/PartitionGroup.java, which is completely outside the feature scope — the JIRA and all code changes are entirely within the connect/ module. The feature work touched DistributedHerder.java, AbstractHerder.java, HerderRequestHandler.java, and new utility classes (Stage, StagedTimeoutException, TemporaryStage) to implement staged timeout error reporting. The PartitionGroup.java fix has zero spatial or logical overlap with any of these files, making it purely incidental cleanup that happened to be committed alongside the feature work."
KAFKA-15470,New Feature,False,high,True,True,17,1,1,True,"The fixed SonarQube issue (java:S3776 cognitive complexity in DistributedHerder.java) is in the same file and method region where the feature was implemented — the original putConnectorConfig method was refactored by extracting its body into a new overload that accepts a TargetState parameter (visible in the diff: the old method now delegates to the new one). This Extract Method refactoring, which was a structural necessity for adding the new targetState parameter per KAFKA-15470, caused the cognitive complexity of the original method to drop below the threshold (though SonarQube detected a new violation at line 1058 in the new overload, suggesting the complexity was moved rather than eliminated). The TD fix is a direct byproduct of the structural refactoring required to implement the feature, not incidental cleanup in an unrelated file."
KAFKA-19098,Improvement,False,high,True,True,1,2,0,True,"Both SonarQube issues (java:S1104 public field 'lastOffset' and java:S107 constructor with 8 parameters) were fixed directly in ProduceResponse.java as a necessary consequence of removing the 'lastOffset' field per the JIRA goal. The COSMETIC issue (public non-static field) was resolved by deleting 'lastOffset' entirely, and the STRUCTURAL issue (constructor with 8 parameters exceeding the 7-parameter limit) was resolved because removing 'lastOffset' from constructors dropped the parameter count below the threshold. These TD fixes are direct byproducts of implementing the feature, not incidental cleanup in unrelated code."
KAFKA-19435,Improvement,False,high,True,False,2,3,3,True,"All three fixed SonarQube issues are in ConsumerGroupCommand.java, which is the core file modified for the JIRA feature. The removal of the unused LOGGER field (S1068) is a direct byproduct of restructuring the class — the logger was likely used for logging that was removed or replaced during the refactor. The two S6204 issues (Stream.collect(Collectors.toList()) → Stream.toList()) were fixed as part of rewriting the describePartitions method to add the new leader-filtering logic, where the developer modernized the stream API calls in the process. However, one new S6204 issue was introduced at line 644, and a new S112 (generic exception) was added at line 659 in the new filterNoneLeaderPartitions method, suggesting the TD fixes were incidental to the new code structure rather than deliberate cleanup. The test changes directly cover the new partition-without-leader logic, confirming the spatial overlap is feature-driven."
KAFKA-19684,Improvement,False,high,True,True,2,1,0,True,"The single SonarQube issue fixed (java:S2326 — unused type parameter T in MetricValueProvider.java) is directly in the core locus of the JIRA work: the feature moves Gauge#value(MetricConfig, long) up to MetricValueProvider, which required adding the T value() method to MetricValueProvider.java. Before this change, MetricValueProvider<T> had no members using T, triggering the S2326 warning; adding the value() method that returns T naturally resolves the unused-type-parameter violation as a byproduct of the feature implementation. The diff confirms that MetricValueProvider gained the T value(MetricConfig, long) method as the primary change, and the SonarQube fix is a direct structural consequence of that pull-up refactoring."
KAFKA-17051,Improvement,False,high,True,False,2,1,0,True,"The single SonarQube issue (java:S3024 — use multiple append calls instead of string concatenation) is in ApiKeys.java's toHtml() method, which is the exact locus of the JIRA feature work. The refactoring from a for-loop to a stream with a filter naturally restructured the string-building code; however, the remaining concatenations like '<a href=""#The_Messages_"" + apiKey.name + ""..."">' are still present in the diff, suggesting the SonarQube fix is a partial byproduct of restructuring the loop rather than a deliberate separate cleanup. The test additions directly target the same toHtml() method to verify stable/unstable API filtering, confirming the code change was driven by the feature requirement, with the TD fix being a causal side effect of the structural refactoring."
KAFKA-19249,Improvement,False,high,False,False,1,1,0,True,"The JIRA issue explicitly targets replacing deprecated Consumer#close(Duration) with Consumer#close(CloseOptions). The single SonarQube fix (java:S1874 in MockConsumer.java) flags use of the deprecated 'close' method, which is precisely what the feature aims to eliminate. The diff shows both MockConsumer.java and ConsumerTask.java replacing close(Duration) with close(CloseOptions.timeout(...)), directly resolving the deprecation warning as a necessary consequence of implementing the feature. The @SuppressWarnings('deprecation') annotation removal in ConsumerTask.java further confirms the TD fix is a direct byproduct of the feature work, not incidental cleanup."
KAFKA-16549,Improvement,False,high,False,False,2,2,0,True,"The JIRA issue explicitly requests adding @SuppressWarnings('removal') to suppress deprecation warnings in RemoteLogManager.java, and the two fixed SonarQube issues (java:S5738) are exactly the 'Remove this call to a deprecated class marked for removal' violations in that same file. The diff shows precisely two @SuppressWarnings('removal') annotations added to createRemoteStorageManager() and createRemoteLogMetadataManager() — the exact methods cited in the JIRA description. The TD fixes are not incidental; they are the direct, intentional goal of the JIRA ticket itself, making this a fully causal relationship."
