jira_id,issue_type,prefactoring_detected,confidence,structural_refactoring,structural_td_fixed,refactoring_count,fixed_count,new_count,diff_available,reasoning
YARN-9689,Improvement,False,high,False,False,1,0,2,,No SonarQube issues were fixed in this change.
YARN-10891,Improvement,False,high,False,False,4,0,1,,No SonarQube issues were fixed in this change.
YARN-10884,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
YARN-11048,Improvement,False,high,True,False,9,0,0,,No SonarQube issues were fixed in this change.
YARN-11050,Improvement,False,high,False,False,9,0,1,,No SonarQube issues were fixed in this change.
YARN-11462,Improvement,False,high,False,False,2,0,2,,No SonarQube issues were fixed in this change.
YARN-11567,Improvement,False,high,True,False,1,0,1,,No SonarQube issues were fixed in this change.
YARN-11754,Improvement,False,high,False,False,1,0,2,,No SonarQube issues were fixed in this change.
YARN-11761,Improvement,False,high,False,False,159,0,0,,No SonarQube issues were fixed in this change.
YARN-11806,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
YARN-11876,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
YARN-11898,Improvement,False,high,False,False,1,1,0,True,"The JIRA issue concerns fixing a hanging test in TestRMHA.java, and the diff shows changes only to that test file (extending AbstractHadoopTestBase, fixing the @Timeout annotation). The single SonarQube issue fixed is in FileSystemTimelineWriter.java (a Map.computeIfAbsent() suggestion), which is a completely unrelated utility class with no spatial overlap with the feature work in TestRMHA.java. This is clearly incidental cleanup committed alongside the test fix, with no causal connection to resolving the hanging test issue."
YARN-11795,Improvement,False,high,False,False,2,1,0,True,"The JIRA issue is about skipping a test method in BaseFederationPoliciesTest.java when Mockito cannot mock ByteBuffers on JDK19+, and the diff confirms all changes are confined to that test file. The single SonarQube issue fixed is a 'Map.computeIfAbsent()' suggestion in FileSystemTimelineWriter.java, which is a completely unrelated production file that was not touched by the feature work. This is clearly incidental cleanup with no spatial overlap or logical connection to the JDK19 Mockito workaround being implemented."
