jira_id,issue_type,prefactoring_detected,confidence,structural_refactoring,structural_td_fixed,refactoring_count,fixed_count,new_count,diff_available,reasoning
HDDS-6148,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-6147,Improvement,False,high,True,False,1,0,1,,No SonarQube issues were fixed in this change.
HDDS-6219,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-6227,Improvement,False,high,True,False,55,0,0,,No SonarQube issues were fixed in this change.
HDDS-6292,Improvement,False,high,True,False,4,0,0,,No SonarQube issues were fixed in this change.
HDDS-5656,Improvement,False,high,True,False,19,0,4,,No SonarQube issues were fixed in this change.
HDDS-4171,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-6482,Improvement,False,high,True,False,23,0,0,,No SonarQube issues were fixed in this change.
HDDS-6554,Improvement,False,high,False,False,2,0,3,,No SonarQube issues were fixed in this change.
HDDS-6562,New Feature,False,high,False,False,2,0,4,,No SonarQube issues were fixed in this change.
HDDS-6639,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-6655,Improvement,False,high,False,False,7,0,2,,No SonarQube issues were fixed in this change.
HDDS-6678,Improvement,False,high,False,False,25,0,0,,No SonarQube issues were fixed in this change.
HDDS-6844,Improvement,False,high,True,False,13,0,0,,No SonarQube issues were fixed in this change.
HDDS-6812,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-6901,Improvement,False,high,False,False,3,0,1,,No SonarQube issues were fixed in this change.
HDDS-7024,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-7059,Improvement,False,high,True,False,7,0,0,,No SonarQube issues were fixed in this change.
HDDS-6493,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
HDDS-7191,Improvement,False,high,True,False,25,0,0,,No SonarQube issues were fixed in this change.
HDDS-6215,Improvement,False,high,True,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-6863,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-7370,Improvement,False,high,False,False,9,0,2,,No SonarQube issues were fixed in this change.
HDDS-7025,Improvement,False,high,False,False,2,0,5,,No SonarQube issues were fixed in this change.
HDDS-7451,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-7618,Improvement,False,high,True,False,21,0,2,,No SonarQube issues were fixed in this change.
HDDS-7820,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-7964,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-7832,Improvement,False,high,True,False,12,0,1,,No SonarQube issues were fixed in this change.
HDDS-7969,Improvement,False,high,False,False,8,0,3,,No SonarQube issues were fixed in this change.
HDDS-7710,New Feature,False,high,True,False,19,0,0,,No SonarQube issues were fixed in this change.
HDDS-7890,Improvement,False,high,True,False,9,0,0,,No SonarQube issues were fixed in this change.
HDDS-7869,Improvement,False,high,False,False,3,0,1,,No SonarQube issues were fixed in this change.
HDDS-8119,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-8133,Improvement,False,high,False,False,1,0,4,,No SonarQube issues were fixed in this change.
HDDS-8223,Improvement,False,high,False,False,4,0,0,,No SonarQube issues were fixed in this change.
HDDS-8354,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-8417,Improvement,False,high,False,False,7,0,0,,No SonarQube issues were fixed in this change.
HDDS-7489,Improvement,False,high,False,False,1,0,4,,No SonarQube issues were fixed in this change.
HDDS-8547,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HDDS-8676,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
HDDS-8733,Improvement,False,high,True,False,48,0,0,,No SonarQube issues were fixed in this change.
HDDS-8736,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-8737,Improvement,False,high,True,False,24,0,0,,No SonarQube issues were fixed in this change.
HDDS-8901,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-6814,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-9081,Improvement,False,high,False,False,8,0,0,,No SonarQube issues were fixed in this change.
HDDS-9097,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-9167,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-9306,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-9289,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-9305,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-9313,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-9294,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-9424,Improvement,False,high,False,False,7,0,0,,No SonarQube issues were fixed in this change.
HDDS-9529,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-9297,Improvement,False,high,True,False,15,0,0,,No SonarQube issues were fixed in this change.
HDDS-9724,Improvement,False,high,True,False,5,0,0,,No SonarQube issues were fixed in this change.
HDDS-9713,Improvement,False,high,False,False,7,0,0,,No SonarQube issues were fixed in this change.
HDDS-9594,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-9811,Improvement,False,high,True,False,4,0,0,,No SonarQube issues were fixed in this change.
HDDS-9668,Improvement,False,high,True,False,42,0,2,,No SonarQube issues were fixed in this change.
HDDS-9727,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-9831,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-9849,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-10037,Improvement,False,high,False,False,5,0,0,,No SonarQube issues were fixed in this change.
HDDS-10000,Improvement,False,high,False,False,29,0,0,,No SonarQube issues were fixed in this change.
HDDS-10102,Improvement,False,high,True,False,11,0,0,,No SonarQube issues were fixed in this change.
HDDS-10057,Improvement,False,high,False,False,3,0,0,,No SonarQube issues were fixed in this change.
HDDS-10054,Improvement,False,high,True,False,4,0,0,,No SonarQube issues were fixed in this change.
HDDS-10105,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-10162,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-9345,New Feature,False,high,False,False,9,0,0,,No SonarQube issues were fixed in this change.
HDDS-10198,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-10066,Improvement,False,high,True,False,16,0,0,,No SonarQube issues were fixed in this change.
HDDS-10183,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-10160,Improvement,False,high,False,False,5,0,3,,No SonarQube issues were fixed in this change.
HDDS-10398,Improvement,False,high,True,False,3,0,0,,No SonarQube issues were fixed in this change.
HDDS-10403,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HDDS-10428,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-10331,Improvement,False,high,False,False,59,0,0,,No SonarQube issues were fixed in this change.
HDDS-10444,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-10412,Improvement,False,high,False,False,30,0,1,,No SonarQube issues were fixed in this change.
HDDS-10485,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-10502,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-10756,Improvement,False,high,True,False,23,0,1,,No SonarQube issues were fixed in this change.
HDDS-8693,Improvement,False,high,False,False,5,0,0,,No SonarQube issues were fixed in this change.
HDDS-10796,Improvement,False,high,False,False,4,0,0,,No SonarQube issues were fixed in this change.
HDDS-10972,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-10975,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-11067,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HDDS-11120,Improvement,False,high,False,False,5,0,9,,No SonarQube issues were fixed in this change.
HDDS-10917,Improvement,False,high,True,False,67,0,0,,No SonarQube issues were fixed in this change.
HDDS-11302,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-11282,Improvement,False,high,True,False,202,0,0,,No SonarQube issues were fixed in this change.
HDDS-11310,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-11340,Improvement,False,high,False,False,2,0,2,,No SonarQube issues were fixed in this change.
HDDS-11331,Improvement,False,high,True,False,13,0,0,,No SonarQube issues were fixed in this change.
HDDS-11376,Improvement,False,high,False,False,6,0,0,,No SonarQube issues were fixed in this change.
HDDS-11196,Improvement,False,high,False,False,3,0,2,,No SonarQube issues were fixed in this change.
HDDS-11501,Improvement,False,high,False,False,16,0,0,,No SonarQube issues were fixed in this change.
HDDS-11480,Improvement,False,high,True,False,37,0,0,,No SonarQube issues were fixed in this change.
HDDS-6776,Improvement,False,high,False,False,4,0,0,,No SonarQube issues were fixed in this change.
HDDS-11548,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-11562,Improvement,False,high,False,False,4,0,0,,No SonarQube issues were fixed in this change.
HDDS-11557,Improvement,False,high,False,False,3,0,1,,No SonarQube issues were fixed in this change.
HDDS-11608,Improvement,False,high,False,False,1,0,1,,No SonarQube issues were fixed in this change.
HDDS-11668,Improvement,False,high,True,False,3,0,1,,No SonarQube issues were fixed in this change.
HDDS-10133,Improvement,False,high,True,False,5,0,0,,No SonarQube issues were fixed in this change.
HDDS-8829,New Feature,False,high,True,False,9,0,12,,No SonarQube issues were fixed in this change.
HDDS-11739,Improvement,False,high,True,False,37,0,0,,No SonarQube issues were fixed in this change.
HDDS-11860,Improvement,False,high,True,False,6,0,0,,No SonarQube issues were fixed in this change.
HDDS-11964,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-11726,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-11753,Improvement,False,high,False,False,2,0,5,,No SonarQube issues were fixed in this change.
HDDS-12135,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-12424,Improvement,False,high,True,False,54,0,0,,No SonarQube issues were fixed in this change.
HDDS-12590,Improvement,False,high,False,False,7,0,0,,No SonarQube issues were fixed in this change.
HDDS-12582,Improvement,False,high,True,False,19,0,8,,No SonarQube issues were fixed in this change.
HDDS-6631,Improvement,False,high,False,False,6,0,0,,No SonarQube issues were fixed in this change.
HDDS-13139,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-13130,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-13317,Improvement,False,high,False,False,5,0,0,,No SonarQube issues were fixed in this change.
HDDS-13281,Improvement,False,high,False,False,4,0,1,,No SonarQube issues were fixed in this change.
HDDS-13430,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-13820,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-13917,Improvement,False,high,True,False,5,0,0,,No SonarQube issues were fixed in this change.
HDDS-13936,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-12133,Improvement,False,high,False,False,9,0,0,,No SonarQube issues were fixed in this change.
HDDS-14023,Improvement,False,high,True,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-13999,Improvement,False,high,True,False,6,0,0,,No SonarQube issues were fixed in this change.
HDDS-13998,Improvement,False,high,True,False,15,0,0,,No SonarQube issues were fixed in this change.
HDDS-14014,Improvement,False,high,False,False,2,0,0,,No SonarQube issues were fixed in this change.
HDDS-14030,Improvement,False,high,False,False,188,0,0,,No SonarQube issues were fixed in this change.
HDDS-14148,Improvement,False,high,False,False,1,0,0,,No SonarQube issues were fixed in this change.
HDDS-13890,New Feature,False,high,True,False,8,0,7,,No SonarQube issues were fixed in this change.
